country,First,Days_In_Data,Start_Rate,End_Rate
Armenia,2020-03-27,7,0.1112339154574909,0.19305339126512858
Aruba,2020-03-24,9,0.11287318697443423,0.5173354402994902
Australia,2020-03-26,8,0.11105733486678952,0.1974352619854036
Austria,2020-03-17,17,0.1134548774542155,1.1960779452875019
Bahrain,2020-03-14,20,0.1279573378049345,0.34670345338575115
Belgium,2020-03-18,16,0.10771857771960378,1.21012246120398
Canada,2020-03-27,7,0.10740143145419052,0.2564750459937675
Chile,2020-03-29,5,0.10072795337366884,0.15993002968862768
Croatia,2020-03-26,8,0.10120320441304079,0.23315475083674228
Cyprus,2020-03-25,9,0.10512474661968833,0.27128966869596993
Czech Republic,2020-03-23,11,0.10898842000376267,0.335759175445068
Denmark,2020-03-13,21,0.11711963320071324,0.5382998525955859
Ecuador,2020-03-29,5,0.10561964426382878,0.15874603753658842
Estonia,2020-03-16,18,0.1289935186414493,0.5876371404777135
Finland,2020-03-23,11,0.11315660657436269,0.26138091550563647
France,2020-03-17,17,0.10184289423103379,0.8750074927381856
French Polynesia,2020-03-27,7,0.10741638529541297,0.13248020853100934
Germany,2020-03-20,14,0.1692828092756395,0.8803232920896567
Greece,2020-03-29,5,0.10130372451115702,0.13128428011577842
Guam,2020-03-23,11,0.16139251856013964,0.4602675529307686
Iceland,2020-03-05,28,0.10913456291607551,3.8904996888190166
Iran,2020-03-12,22,0.10854632756054214,0.574005040843209
Ireland,2020-03-20,14,0.1140810180041147,0.7059915063917117
Israel,2020-03-22,12,0.10364607646779805,0.6562686449959898
Italy,2020-03-09,25,0.12180001428569659,1.826157936220558
Latvia,2020-03-25,9,0.10331754200749656,0.23390671946874855
Lithuania,2020-03-27,7,0.10834797601270027,0.21053569920862492
Luxembourg,2020-03-16,18,0.1250550160866225,3.7662673026607485
Montenegro,2020-03-27,7,0.10669010664233494,0.19586392711951042
Netherlands,2020-03-19,15,0.11996165438292859,0.7962739945242272
North Macedonia,2020-03-28,6,0.1051136595440563,0.16990975104381703
Norway,2020-03-13,21,0.11545203748677461,0.8672846294296354
Panama,2020-03-25,9,0.10432270427056646,0.31014221563055544
Portugal,2020-03-22,12,0.1251688434799794,0.8068500996510235
Qatar,2020-03-14,20,0.11299167710368434,0.29483765744242635
Singapore,2020-03-27,7,0.10233726952794092,0.17228496553525408
Slovenia,2020-03-16,18,0.10535663944071501,0.4045887386741613
South Korea,2020-03-04,30,0.10401108764441201,0.1947474869257985
Spain,2020-03-15,19,0.12309364257389085,2.185345433326424
Sweden,2020-03-16,18,0.10282592955088683,0.4929068541552685
Switzerland,2020-03-14,20,0.1304798480800199,1.986878685750169
United Kingdom,2020-03-25,9,0.11960579635425778,0.4364567589136305
United States,2020-03-23,11,0.10698800808352353,0.6585964920715022
